edad;clase_trabajo;peso_final;educacion;años_educacion;estado_civil;ocupacion;relacion_familiar;raza;sexo;ganancia_capital;perdida_capital;horas_semana;pais_origen;ingreso
24;privado;218678;universitario incompleto;10;soltero/a;ventas;sin familia conviviente;blanco/a;masculino;0;0;200;estados unidos;<=50k
999;;230020;5-6 grado;3;casado/a;;esposo;otro;masculino;0;0;40;estados unidos;<=50k
26;privado;283715;secundaria completa;9;soltero/a;oficios/reparacion;hijo/a propio/a;blanco/a;masculino;0;0;40;estados unidos;<=50k
33;privado;309350;secundaria completa;9;casado/a;administrativo;esposo;blanco/a;masculino;0;0;40;estados unidos;<=50k
54;privado;146834;10 grado;6;casado/a;operador de maquinaria;esposo;blanco/a;masculino;0;0;60;estados unidos;<=50k
24;privado;281221;licenciatura;13;soltero/a;administrativo;otro familiar;asiatico/isleno pacifico;femenino;0;0;40;taiwan;<=50k
51;privado;216475;licenciatura;13;soltero/a;ventas;sin familia conviviente;blanco/a;femenino;0;1564;43;estados unidos;>50k
39;gobierno local;98587;universitario incompleto;10;divorciado/a;profesional especializado;hijo/a propio/a;blanco/a;femenino;0;0;45;estados unidos;<=50k
46;privado;148738;secundaria completa;9;casado/a;limpieza/mantenimiento;esposo;blanco/a;masculino;0;1740;35;estados unidos;<=50k
58;gobierno federal;30111;universitario incompleto;10;viudo/a;profesional especializado;no casado/a;indigena americano/esquimal;femenino;0;0;40;estados unidos;<=50k
71;autonomo no incorporado;130731;secundaria completa;9;viudo/a;administrativo;sin familia conviviente;blanco/a;femenino;0;0;35;estados unidos;<=50k
76;autonomo no incorporado;236878;secundaria completa;9;casado/a;oficios/reparacion;esposo;blanco/a;masculino;0;0;30;estados unidos;<=50k
21;;107801;universitario incompleto;10;soltero/a;;hijo/a propio/a;blanco/a;femenino;0;0;3;estados unidos;<=50k
28;privado;224506;universitario incompleto;10 años;casado/a;ventas;esposo;negro/a;masculino;0;0;40;;<=50k
49;autonomo no incorporado;110457;universitario incompleto;10;casado/a;oficios/reparacion;esposo;blanco/a;masculino;0;0;50;estados unidos;>50k
18;;261276;universitario incompleto;10;soltero/a;;hijo/a propio/a;negro/a;femenino;0;1602;40;camboya;<=50k
30;privado;184687;secundaria completa;9;soltero/a;profesional especializado;hijo/a propio/a;blanco/a;femenino;0;0;30;estados unidos;<=50k
31;privado;118161;secundaria completa;9;casado/a;otros servicios;esposo;blanco/a;masculino;0;0;40;estados unidos;<=50k
43;gobierno estatal;117471;secundaria completa;9;soltero/a;administrativo;sin familia conviviente;blanco/a;femenino;0;0;40;estados unidos;<=50k
48;privado;208748;5-6 grado;3;divorciado/a;operador de maquinaria;no casado/a;otro;femenino;0;0;40;republica dominicana;<=50k
38;Empresa privada;188503;universitario incompleto;10;soltero/a;administrativo;no casado/a;blanco/a;FEMENINO;6497;0;35;estados unidos;<=50k
29;privado;207064;secundaria completa;9;casado/a;oficios/reparacion;esposo;blanco/a;masculino;0;0;40;estados unidos;>50k
24;privado;182342;licenciatura;13;soltero/a;ventas;hijo/a propio/a;blanco/a;masculino;0;0;40;estados unidos;<=50k
50;privado;767403;secundaria completa;9;casado/a;operador de maquinaria;esposo;blanco/a;masculino;3103;0;40;estados unidos;>50k
47;autonomo incorporado;207540;7-8 grado;4;casado/a;oficios/reparacion;esposo;blanco/a;masculino;0;0;40;;<=50k
40;privado;229148;  12 grado  ;8;casado/a;transporte/logistica;esposo;negro/a;masculino;0;0;40;jamaica;<=50k
30;;96851;universitario incompleto;10;soltero/a;;sin familia conviviente;blanco/a;femenino;0;1719;25;estados unidos;<=50k
42;autonomo no incorporado;175674;secundaria completa;9;casado/a;ventas;esposo;blanco/a;masculino;0;0;60;estados unidos;<=50k
79;autonomo incorporado;309272;secundaria completa;9;casado/a;ejecutivo/gerente;esposo;blanco/a;masculino;0;0;40;estados unidos;>50k
42;privado;190767;tecnico vocacional;11;divorciado/a;soporte tecnico;no casado/a;blanco/a;femenino;0;0;200;estados unidos;<=50k
36;;205396;secundaria completa;9;viudo/a;;sin familia conviviente;blanco/a;femenino;0;0;4;estados unidos;<=50k
53;privado;47396;universitario incompleto;10;casado/a;Administrativo;esposo;blanco/a;masculino;0;0;50;estados unidos;>50k
36;privado;147548;secundaria completa;9;casado/a;operador de maquinaria;esposo;blanco/a;masculino;0;0;85;estados unidos;<=50k
69;autonomo no incorporado;92472;10 grado;6;casado/a;agricultura/pesca;sin familia conviviente;blanco/a;masculino;3273;0;45;estados unidos;<=50k
43;privado;187728;universitario incompleto;10;casado/a;profesional especializado;esposa;blanco/a;femenino;0;1887;50;estados unidos;>50k
61;privado;716416;universitario incompleto;10;casado/a;ventas;esposo;blanco/a;M;0;0;44;estados unidos;>50k
40;gobierno estatal;151038;licenciatura;13;divorciado/a;oficios/reparacion;sin familia conviviente;blanco/a;masculino;0;0;40;estados unidos;<=50k
67;;37092;7-8 grado;4;casado/a;;esposo;blanco/a;masculino;0;0;4;estados unidos;<=50k
42;privado;144995;preescolar;1;soltero/a;limpieza/mantenimiento;sin familia conviviente;blanco/a;masculino;0;0;25;estados unidos;<=50k
51;gobierno local;117496;maestria;14;casado/a;profesional especializado;esposa;blanco/a;femenino;0;0;200;estados unidos;>50k
21;privado;285522;universitario incompleto;10;soltero/a;oficios/reparacion;sin familia conviviente;blanco/a;masculino;0;0;40;estados unidos;<=50k
50;privado;105010;  licenciatura  ;13;casado/a;agricultura/pesca;esposo;blanco/a;masculino;0;0;45;estados unidos;>50k
30;privado;111415;secundaria completa;9;casado/a;otros servicios;esposo;blanco/a;masculino;0;0;55;alemania;<=50k
30;;205418;secundaria completa;9;casado/a;;esposa;blanco/a;femenino;0;0;20;estados unidos;<=50k
54;privado;177675;secundaria completa;9;divorciado/a;administrativo;no casado/a;blanco/a;femenino;0;0;42;estados unidos;<=50k
43;autonomo no incorporado;64112;  universitario incompleto  ;10;casado/a;agricultura/pesca;esposo;blanco/a;masculino;0;0;50;estados unidos;<=50k
29;privado;349154;10 grado;6;separado/a;agricultura/pesca;no casado/a;blanco/a;femenino;0;0;40;guatemala;<=50k
39;privado;101073;tecnico academico;12;casado/a;ventas;esposo;blanco/a;masculino;0;0;24;estados unidos;<=50k
51;privado;162745;secundaria completa;9;casado/a;oficios/reparacion;esposo;blanco/a;masculino;7298;0;50;estados unidos;>50k
37;privado;121772;secundaria completa;9;soltero/a;oficios/reparacion;sin familia conviviente;asiatico/isleno pacifico;Masc.;0;0;40;hong kong;<=50k
63;privado;339755;licenciatura;13;casado/a;Profesional;esposo;blanco/a;masculino;0;0;50;;>50k
44;autonomo incorporado;103643;secundaria completa;9;casado/a;ejecutivo/gerente;esposo;blanco/a;masculino;5013;0;60;grecia;<=50k
58;privado;150560;licenciatura;13;divorciado/a;administrativo;sin familia conviviente;blanco/a;femenino;14084;0;40;estados unidos;>50k
32;autonomo no incorporado;241885;10 grado;6;divorciado/a;oficios/reparacion;sin familia conviviente;blanco/a;masculino;0;0;40;estados unidos;<=50k
36;privado;185360;secundaria completa;9;casado/a;ventas;esposo;blanco/a;masculino;0;0;60;estados unidos;<=50k
22;Sector privado;216867;5-6 grado;3;casado/a;oficios/reparacion;esposo;blanco/a;masculino;0;0;48;mexico;<=50k
29;gobierno federal;155970;secundaria completa;9;casado/a;soporte tecnico;esposo;blanco/a;masculino;0;0;40;estados unidos;>50k
40;privado;141245;licenciatura;13;Casada;otros servicios;esposa;blanco/a;femenino;0;0;40;puerto rico;<=50k
44;Empresa privada;313022;tecnico vocacional;11;casado/a;ejecutivo/gerente;esposo;negro/a;masculino;0;0;40;estados unidos;>50k
31;privado;113838;licenciatura;13;casado/a;profesional especializado;esposo;blanco/a;masculino;0;0;50;estados unidos;<=50k
21;privado;138768;universitario incompleto;10;soltero/a;ventas;hijo/a propio/a;blanco/a;masculino;0;0;40;estados unidos;<=50k
48;privado;185041;7-8 grado;4;casado/a;transporte/logistica;esposo;blanco/a;masculino;0;1672;55;estados unidos;<=50k
41;gobierno federal;19914;licenciatura;13;casado/a;administrativo;esposa;asiatico/isleno pacifico;femenino;0;0;40;filipinas;>50k
19;privado;220001;universitario incompleto;10;soltero/a;agricultura/pesca;hijo/a propio/a;blanco/a;masculino;0;0;50;estados unidos;<=50K.
64;autonomo incorporado;213574;secundaria completa;9;casado/a;oficios/reparacion;esposo;blanco/a;masculino;2635;0;10;estados unidos;<=50k.
29;gobierno estatal;95423;maestria;14;casado/a;administrativo;esposo;blanco/a;masculino;0;0;36;estados unidos;<=50k
31;gobierno estatal;1033222;universitario incompleto;10;casado/a;operador de maquinaria;esposo;blanco/a;masculino;0;0;40;estados unidos;<=50k
19;privado;354104;secundaria completa;9;soltero/a;limpieza/mantenimiento;hijo/a propio/a;blanco/a;masculino;0;0;30;estados unidos;<=50k
50;privado;206862;maestria;14;casado/a;ejecutivo/gerente;esposo;blanco/a;masculino;0;0;65;estados unidos;>50k
17;privado;98675;  9 grado  ;5;Sin pareja;otros servicios;no casado/a;blanco/a;femenino;0;0;20;estados unidos;<=50k
28;;115438;licenciatura;13;soltero/a;;hijo/a propio/a;blanco/a;masculino;0;0;40;;<=50k
21;privado;65038;secundaria completa;9;soltero/a;operador de maquinaria;hijo/a propio/a;blanco/a;masculino;0;0;40;estados unidos;<=50k
48;autonomo no incorporado;160724;licenciatura;13;casado/a;ejecutivo/gerente;esposo;asiatico/isleno pacifico;Masc.;0;0;40;japon;<=50k
27;PRIVADO;159623;  universitario incompleto  ;10;casado/a;ventas;esposo;blanco/a;masculino;0;0;40;estados unidos;<=50k
39;autonomo incorporado;154641;secundaria completa;9;divorciado/a;oficios/reparacion;no casado/a;blanco/a;masculino;0;0;60;estados unidos;<=50k
43;autonomo no incorporado;130126;  licenciatura  ;13;casado/a;oficios/reparacion;esposo;blanco/a;masculino;0;0;40;estados unidos;>50k
26;gobierno federal;85482;  secundaria completa  ;9;soltero/a;administrativo;sin familia conviviente;asiatico/isleno pacifico;masculino;0;0;40;estados unidos;<=50k
69;gobierno estatal;170458;secundaria completa;9;casado/a;otros servicios;esposo;blanco/a;masculino;0;0;20;estados unidos;<=50k
46;autonomo no incorporado;317253;secundaria completa;9;casado/a;oficios/reparacion;esposo;blanco/a;masculino;0;0;25;estados unidos;<=50k
54;privado;343242;licenciatura;13;casado/a;ventas;esposo;blanco/a;masculino;0;0;40;estados unidos;>50k
32;privado;161075;secundaria completa;9;soltero/a;oficios/reparacion;no casado/a;blanco/a;masculino;0;0;40;estados unidos;<=50k
18;privado;183930;secundaria completa;9;soltero/a;otros servicios;hijo/a propio/a;blanco/a;masculino;0;0;12;estados unidos;<=50k
58;;215245;  licenciatura  ;13;soltero/a;;sin familia conviviente;blanco/a;femenino;0;0;37;;<=50k
39;autonomo incorporado;167482;tecnico academico;12;casado/a;ejecutivo/gerente;esposo;blanco/a;masculino;0;0;50;estados unidos;>50k
53;privado;22418;secundaria completa;9;casado/a;oficios/reparacion;esposo;blanco/a;masculino;0;0;40;estados unidos;<=50k
22;privado;222993;secundaria completa;9;soltero/a;limpieza/mantenimiento;hijo/a propio/a;blanco/a;masculino;0;0;40;estados unidos;<=50k
26;privado;39092;universitario incompleto;10;casado/a;ejecutivo/gerente;esposo;blanco/a;masculino;4064;0;50;estados unidos;<=50k
44;privado;159580;12 grado;8;divorciado/a;transporte/logistica;sin familia conviviente;blanco/a;femenino;0;0;40;estados unidos;<=50k
25;privado;255474;licenciatura;13;soltero/a;administrativo;sin familia conviviente;blanco/a;femenino;0;0;40;estados unidos;<=50k
17;privado;168807;7-8 grado;4;soltero/a;oficios/reparacion;sin familia conviviente;blanco/a;masculino;0;0;45;estados unidos;<=50k
47;privado;280483;  secundaria completa  ;9;separado/a;oficios/reparacion;no casado/a;negro/a;femenino;0;0;40;estados unidos;<=50k
45;;101320;secundaria completa;9;divorciado/a;;no casado/a;blanco/a;femenino;0;0;40;;<=50k
17;privado;225106;10 grado;6;soltero/a;otros servicios;hijo/a propio/a;blanco/a;femenino;0;1602;18;estados unidos;<=50k
36;PRIVADO;199439;maestria;14;casado/a;ejecutivo;esposo;blanco/a;masculino;0;0;45;estados unidos;>50k
45;autonomo no incorporado;149218;licenciatura;13;casado/a;agricultura/pesca;esposo;blanco/a;HOMBRE;0;0;77;estados unidos;<=50k
51;autonomo no incorporado;94432;secundaria completa;9;casado/a;agricultura/pesca;esposo;blanco/a;masculino;0;0;55;estados unidos;>50k
24;privado;163053;licenciatura;13;soltero/a;ventas;sin familia conviviente;blanco/a;femenino;0;0;40;estados unidos;<=50k
69;;262352;universitario incompleto;10;casado/a;;esposo;blanco/a;masculino;0;0;32;estados unidos;<=50k
22;;496025;universitario incompleto;10;casado/a;;esposo;blanco/a;masculino;0;0;40;;<=50k
31;autonomo no incorporado;226624;9 grado;5;casado/a;oficios/reparacion;esposo;blanco/a;masculino;0;0;60;estados unidos;<=50k
43;privado;117728;secundaria completa;9;casado/a;oficios/reparacion;esposo;blanco/a;masculino;0;0;44;estados unidos;<=50k
37;Privado;75024;secundaria completa;9;divorciado/a;ventas;no casado/a;blanco/a;femenino;0;0;25;canada;<=50k
53;gobierno local;192982;maestria;14;casado/a;administrativo;esposo;blanco/a;masculino;0;0;38;estados unidos;>50k
40;privado;266803;tecnico academico;12;divorciado/a;ejecutivo/gerente;sin familia conviviente;blanco/a;femenino;0;0;40;estados unidos;>50k
40;autonomo inc.;50644;tecnico academico;12;divorciado/a;ventas;no casado/a;blanco/a;femenino;1506;0;40;estados unidos;<=50k
19;privado;166153;secundaria completa;9;soltero/a;ventas;hijo/a propio/a;blanco/a;femenino;0;0;30;estados unidos;<=50k
45;privado;140644;secundaria completa;9;casado/a;ventas;esposo;blanco/a;M;0;0;50;estados unidos;>50k
56;autonomo no incorporado;39380;universitario incompleto;10;casado/a;agricultura/pesca;sin familia conviviente;blanco/a;femenino;27828;0;20;estados unidos;>50k
40;autonomo no incorporado;27242;secundaria completa;9;casado/a;agricultura/pesca;esposo;blanco/a;masculino;0;0;84;estados unidos;<=50k
30;privado;97521;licenciatura;13;casado/a;ventas;esposo;blanco/a;masculino;0;0;50;estados unidos;>50k
28;privado;233796;universitario incompleto;10;casado/a;administrativo;esposa;blanco/a;femenino;7298;0;32;estados unidos;>50k
71;privado;269708;licenciatura;13;divorciado/a;soporte tecnico;hijo/a propio/a;blanco/a;femenino;2329;0;16;estados unidos;<=50k
57;privado;161097;secundaria completa;9 años;divorciado/a;ventas;sin familia conviviente;blanco/a;femenino;0;0;26;estados unidos;<=50k
36;privado;356824;secundaria completa;9;divorciado/a;ventas;sin familia conviviente;blanco/a;femenino;0;0;40;estados unidos;<=50k
28;privado;42734;secundaria completa;9;soltero/a;limpieza/mantenimiento;hijo/a propio/a;blanco/a;masculino;0;0;40;estados unidos;<=50k
17;privado;93235;12 grado;8;soltero/a;otros servicios;hijo/a propio/a;blanco/a;mujer;0;1721;25;estados unidos;<=50k
24;privado;284317;licenciatura;13;soltero/a;otros servicios;hijo/a propio/a;blanco/a;femenino;0;0;30;estados unidos;<=50k
31;privado;131425;licenciatura;13;casado/a;oficios/reparacion;esposo;blanco/a;masculino;0;0;40;estados unidos;<=50k
32;privado;154571;universitario incompleto;10;soltero/a;otros servicios;otro familiar;asiatico/isleno pacifico;masculino;0;0;40;;<=50k
56;privado;208415;secundaria completa;9;divorciado/a;ejecutivo/gerente;sin familia conviviente;negro/a;masculino;0;0;40;;<=50k
59;privado;50223;secundaria completa;9;casada;oficios/reparacion;esposo;blanco/a;masculino;0;0;40;estados unidos;<=50k
38;privado;160808;secundaria completa;9;casado/a;oficios/reparacion;esposo;negro/a;masculino;4386;0;48;estados unidos;<=50k
48;autonomo no incorporado;108557;universitario incompleto;10;divorciado/a;ventas;sin familia conviviente;blanco/a;femenino;3325;0;60;estados unidos;<=50k
51;;203953;secundaria completa;9;casado/a;;esposo;blanco/a;masculino;0;0;40;estados unidos;>50k
38;privado;181943;licenciatura;13;soltero/a;administrativo;sin familia conviviente;blanco/a;femenino;0;0;35;estados unidos;<=50k
37;privado;227597;universitario incompleto;10;casado/a;oficios/reparacion;esposo;blanco/a;masculino;0;0;40;estados unidos;<=50k
39;privado;347814;  tecnico academico  ;12;soltero/a;otros servicios;hijo/a propio/a;blanco/a;femenino;0;0;200;estados unidos;<=50k
44;privado;99203;7-8 grado;4;casado/a;operador de maquinaria;esposo;blanco/a;masculino;0;0;40;estados unidos;<=50k
23;privado;216811;secundaria completa;9;soltera;administrativo;hijo/a propio/a;blanco/a;femenino;0;0;16;estados unidos;<=50k
23;gobierno federal;350680;tecnico academico;12;soltero/a;ejecutivo/gerente;hijo/a propio/a;blanco/a;femenino;0;0;40;polonia;<=50k
43;privado;216697;universitario incompleto;10;casado/a;servicios de proteccion;esposo;otro;masculino;0;0;32;estados unidos;<=50k
46;privado;156926;universitario incompleto;10;casado/a;ejecutivo/gerente;esposo;blanco/a;masculino;0;0;60;estados unidos;>50k
22;;154235;universitario incompleto;10;casado/a;;esposa;blanco/a;femenino;3781;0;35;estados unidos;<=50k
20;;218962;  secundaria completa  ;9;soltero/a;;sin familia conviviente;blanco/a;masculino;0;0;40;;<=50k
48;autonomo incorporado;250674;tecnico vocacional;11;casado/a;;esposo;blanco/a;masculino;0;0;60;estados unidos;<=50k
35;autonomo no incorporado;147258;tecnico vocacional;11;soltero/a;agricultura/pesca;hijo/a propio/a;blanco/a;masculino;0;0;65;estados unidos;<=50k
37;privado;86150;licenciatura;13;casado/a;otros servicios;esposa;asiatico/isleno pacifico;femenino;0;0;30;estados unidos;>50k
40;autonomo no incorporado;179533;secundaria completa;9;casado/a;transporte/logistica;esposo;blanco/a;masculino;0;0;75;estados unidos;>50k
43;autonomo incorporado;198316;licenciatura;13;casado/a;ejecutivo/gerente;esposo;blanco/a;masculino;0;0;50;estados unidos;>50k
51;autonomo no incorporado;24790;universitario incompleto;10;casado/a;Mgr.;esposo;blanco/a;masculino;0;0;99;estados unidos;>50k
21;;170456;  universitario incompleto  ;10;soltero/a;;hijo/a propio/a;blanco/a;masculino;0;0;35;;<=50k
36;privado;357619;licenciatura;13;casado/a;ejecutivo/gerente;esposa;blanco/a;femenino;0;0;60;alemania;<=50k
38;gobierno federal;65706;universitario incompleto;10;divorciado/a;ejecutivo/gerente;no casado/a;blanco/a;femenino;0;0;38;estados unidos;<=50k
43;privado;338290;universitario incompleto;10;casado/a;profesional especializado;esposo;blanco/a;masculino;0;0;40;estados unidos;<=50k
38;gobierno estatal;200904;licenciatura;13;casado/a;ejecutivo/gerente;esposa;negro/a;femenino;0;0;30;estados unidos;>50k
32;;159187;licenciatura;13;soltero/a;;sin familia conviviente;blanco/a;masculino;0;0;35;;<=50k
28;privado;339897;1-4 grado;2;casado/a;operador de maquinaria;esposo;blanco/a;masculino;0;0;43;mexico;<=50k
55;privado;198385;7-8 grado;4;viudo/a;otros servicios;no casado/a;blanco/a;femenino;0;0;20;;<=50k
62;privado;116104;secundaria completa;9;viudo/a;administrativo;sin familia conviviente;blanco/a;femenino;0;0;20;alemania;<=50k
60;privado;52900;7-8 grado;4;casado/a;transporte/logistica;esposo;blanco/a;masculino;0;0;40;estados unidos;<=50k
23;privado;107801;licenciatura;13;soltero/a;Admin.;hijo/a propio/a;blanco/a;femenino;0;0;20;estados unidos;<=50k
37;privado;588003;licenciatura;13;casado/a;ejecutivo/gerente;esposo;blanco/a;masculino;15024;0;40;estados unidos;>50k
29;privado;46609;10 grado;6;soltero/a;oficios/reparacion;sin familia conviviente;negro/a;masculino;0;0;40;;<=50k
44;gobierno estatal;167265;maestria;14;casado/a;profesional especializado;esposo;blanco/a;masculino;0;0;60;estados unidos;>50k
35;privado;81280;licenciatura;13;casado/a;agricultura/pesca;esposo;blanco/a;masculino;0;0;65;yugoslavia;>50k
48;privado;128460;secundaria completa;9;casado/a;oficios/reparacion;esposo;blanco/a;masculino;0;0;42;estados unidos;>50k
36;;36635;universitario incompleto;10;soltero/a;;no casado/a;blanco/a;femenino;0;0;25;estados unidos;<=50k
47;privado;102308;  maestria  ;14;casado/a;ventas;esposo;blanco/a;masculino;0;0;40;estados unidos;>50k
37;privado;130277;5-6 grado;3;separado/a;otros servicios;no casado/a;blanco/a;femenino;0;0;40;estados unidos;<=50k
43;;159549;universitario incompleto;10;casado/a;;esposo;blanco/a;masculino;0;0;50;;>50k
22;privado;401762;secundaria completa;9;soltero/a;administrativo;sin familia conviviente;blanco/a;femenino;0;0;55;estados unidos;<=50k
22;privado;99199;secundaria completa;9;casado/a;ejecutivo/gerente;esposo;blanco/a;masculino;0;0;48;estados unidos;<=50k
21;privado;322674;universitario incompleto;10;soltero/a;otros servicios;sin familia conviviente;blanco/a;masculino;0;0;32;estados unidos;<=50k
41;privado;220531;doctorado;16;casado/a;profesional especializado;esposo;blanco/a;masculino;0;0;50;estados unidos;>50k
18;privado;216730;11 grado;7;soltero/a;otros servicios;hijo/a propio/a;blanco/a;masculino;0;0;12;estados unidos;<=50k
59;privado;261232;11 grado;7;divorciado/a;agricultura/pesca;sin familia conviviente;blanco/a;masculino;0;0;40;estados unidos;<=50k
84;privado;132806;secundaria completa;9;viudo/a;otros servicios;sin familia conviviente;blanco/a;femenino;0;0;13;estados unidos;<=50k
24;privado;143436;universitario incompleto;10;soltero/a;limpieza/mantenimiento;hijo/a propio/a;blanco/a;masculino;0;0;24;estados unidos;<=50k
50;autonomo no incorporado;204402;secundaria completa;9;casado/a;agricultura/pesca;esposo;blanco/a;masculino;0;0;84;estados unidos;>50k
45;;51164;universitario incompleto;10;casado/a;;esposa;negro/a;femenino;0;0;40;estados unidos;<=50k
53;;181317;secundaria completa;9;casado/a;;esposo;blanco/a;masculino;0;0;40;estados unidos;<=50k
61;privado;173924;9 grado;5;Divorciado;limpieza/mantenimiento;sin familia conviviente;blanco/a;masculino;0;0;40;puerto rico;>50k
26;privado;284078;  universitario incompleto  ;10;soltero/a;administrativo;sin familia conviviente;blanco/a;masculino;0;0;40;estados unidos;<=50k
43;Federal;263502;secundaria completa;9;divorciado/a;administrativo;sin familia conviviente;blanco/a;masculino;0;0;40;estados unidos;<=50k
33;privado;118710;tecnico vocacional;11;divorciado/a;administrativo;sin familia conviviente;blanco/a;masculino;0;0;40;estados unidos;<=50k
28;privado;140108;maestria;14;Divorciado;profesional especializado;sin familia conviviente;blanco/a;femenino;0;0;50;estados unidos;<=50k
33;privado;183612;secundaria completa;9;casado/a;operador de maquinaria;esposo;blanco/a;masculino;0;0;40;estados unidos;>50k
66;autonomo no incorporado;174788;universitario incompleto;10;soltero/a;ventas;sin familia conviviente;blanco/a;femenino;0;0;20;estados unidos;<=50k
28;gobierno local;175262;tecnico academico;12;CASADO;servicios de proteccion;esposo;blanco/a;masculino;0;2002;40;inglaterra;<=50k
30;Empresa privada;222162;secundaria completa;9;casado/a;limpieza/mantenimiento;esposo;blanco/a;masculino;0;0;66;estados unidos;<=50k
27;privado;150025;secundaria completa;9;soltero/a;ventas;sin familia conviviente;blanco/a;masculino;0;0;40;puerto rico;<=50k
41;privado;120277;licenciatura;13;soltero/a;oficios/reparacion;sin familia conviviente;blanco/a;masculino;0;0;40;estados unidos;<=50k
45;privado;81132;secundaria completa;9;casado/a;otros servicios;esposo;asiatico/isleno pacifico;masculino;0;0;40;filipinas;<=50k
38;privado;241765;11 grado;7;divorciado/a;limpieza/mantenimiento;sin familia conviviente;blanco/a;femenino;0;0;60;estados unidos;<=50k
29;privado;258862;licenciatura;13;Soltera;oficios/reparacion;sin familia conviviente;blanco/a;femenino;0;0;45;estados unidos;<=50k
29;privado;71860;secundaria completa;9;casado/a;agricultura/pesca;esposo;blanco/a;masculino;0;0;60;estados unidos;<=50k
58;privado;312131;maestria;14;casado/a;ventas;esposo;blanco/a;masculino;0;0;40;estados unidos;<=50k
40;privado;92717;secundaria completa;9;soltero/a;otros servicios;no casado/a;negro/a;femenino;0;0;40;estados unidos;<=50k
20;gobierno estatal;41103;universitario incompleto;10;soltero/a;otros servicios;hijo/a propio/a;blanco/a;femenino;0;0;20;estados unidos;<=50k
39;privado;115215;secundaria completa;9;soltero/a;transporte/logistica;hijo/a propio/a;blanco/a;masculino;0;0;40;estados unidos;<=50k
57;privado;103403;5-6 grado;3;casado/a;transporte/logistica;esposo;blanco/a;masculino;0;0;40;estados unidos;<=50k
140;autonomo incorporado;184655;secundaria completa;9;casado/a;ventas;esposo;blanco/a;hombre;0;0;62;estados unidos;<=50k
21;privado;57711;secundaria completa;9;soltero/a;otros servicios;sin familia conviviente;blanco/a;femenino;0;0;30;estados unidos;<=50k
34;gobierno estatal;156292;secundaria completa;9;soltero/a;;sin familia conviviente;negro/a;masculino;0;0;40;estados unidos;<=50k
34;privado;118584;licenciatura;13;soltero/a;ejecutivo/gerente;sin familia conviviente;blanco/a;femenino;0;0;40;estados unidos;<=50k
25;privado;135603;secundaria completa;9;casado/a;transporte/logistica;esposo;blanco/a;masc;0;0;40;estados unidos;>50k
